title,duration,company
Introduction to Python,4,DATACAMP
Introduction to SQL,4,DATACAMP
Introduction to R,4,DATACAMP
Intermediate Python,4,DATACAMP
Data Science for Everyone,2,DATACAMP
Introduction to Data Science in Python,4,DATACAMP
Data Manipulation with pandas,4,DATACAMP
Joining Data in SQL,5,DATACAMP
Intermediate R,6,DATACAMP
Introduction to Power BI,6,DATACAMP
Supervised Learning with scikit-learn,4,DATACAMP
Introduction to the Tidyverse,4,DATACAMP
Python Data Science Toolbox (Part 1),3,DATACAMP
Introduction to Tableau,6,DATACAMP
Introduction to Data Visualization with ggplot2,4,DATACAMP
Data Engineering for Everyone,2,DATACAMP
Intermediate SQL,4,DATACAMP
Data Manipulation with dplyr,4,DATACAMP
Python Data Science Toolbox (Part 2),4,DATACAMP
Introduction to Data Visualization with Matplotlib,4,DATACAMP
Joining Data with pandas,4,DATACAMP
Introduction to SQL Server,4,DATACAMP
Machine Learning for Everyone,2,DATACAMP
Introduction to Importing Data in Python,3,DATACAMP
Introduction to Relational Databases in SQL,4,DATACAMP
Cleaning Data in Python,4,DATACAMP
Writing Efficient Python Code,4,DATACAMP
Statistical Thinking in Python (Part 1),3,DATACAMP
Data Analysis in Excel,4,DATACAMP
Introduction to Importing Data in R,3,DATACAMP
Exploratory Data Analysis in Python,4,DATACAMP
Data Analysis in Spreadsheets,3,DATACAMP
Introduction to Data Visualization with Seaborn,4,DATACAMP
Introduction to Statistics in R,4,DATACAMP
Data Manipulation in R with dplyr,4,DATACAMP
Introduction to PySpark,4,DATACAMP
Unsupervised Learning in Python,4,DATACAMP
Object-Oriented Programming in Python,4,DATACAMP
pandas Foundations,4,DATACAMP
Writing Functions in Python,4,DATACAMP
Reporting with R Markdown,4,DATACAMP
Introduction to Shell,4,DATACAMP
Introduction to Data Engineering,4,DATACAMP
Machine Learning with Tree-Based Models in Python,5,DATACAMP
Intermediate Importing Data in Python,2,DATACAMP
Data Types for Data Science in Python,4,DATACAMP
Joining Data with dplyr,4,DATACAMP
Introduction to Regression in R,4,DATACAMP
Introduction to Git,4,DATACAMP
Data Visualization for Everyone,2,DATACAMP
Writing Functions in R,4,DATACAMP
Working with Data in the Tidyverse,4,DATACAMP
Introduction to Deep Learning in Python,4,DATACAMP
Statistical Thinking in Python (Part 2),4,DATACAMP
Exploratory Data Analysis in SQL,4,DATACAMP
Data Science for Business,2,DATACAMP
Analyzing Police Activity with pandas,4,DATACAMP
Intermediate Data Visualization with ggplot2,4,DATACAMP
Web Scraping in Python,4,DATACAMP
Introduction to Natural Language Processing in Python,4,DATACAMP
Cluster Analysis in Python,4,DATACAMP
Data Visualization with ggplot2 (Part 1),5,DATACAMP
Intermediate Data Visualization with Seaborn,4,DATACAMP
Reporting with R Markdown,3,DATACAMP
Pivot Tables in Spreadsheets,4,DATACAMP
Cloud Computing for Everyone,2,DATACAMP
Cleaning Data in R,4,DATACAMP
PostgreSQL Summary Stats and Window Functions,4,DATACAMP
Intermediate Spreadsheets,4,DATACAMP
Introduction to Python for Finance,4,DATACAMP
Cleaning Data in R,4,DATACAMP
Database Design,4,DATACAMP
Streamlined Data Ingestion with pandas,4,DATACAMP
Working with Dates and Times in Python,4,DATACAMP
Cleaning Data in Python,4,DATACAMP
Linear Classifiers in Python,4,DATACAMP
Introduction to Spreadsheets,2,DATACAMP
Introduction to R for Finance,4,DATACAMP
Introduction to Machine Learning,6,DATACAMP
Joining Data in R with dplyr,4,DATACAMP
Exploratory Data Analysis in R,4,DATACAMP
Functions for Manipulating Data in PostgreSQL,4,DATACAMP
Case Study: School Budgeting with Machine Learning in Python,4,DATACAMP
Introduction to TensorFlow in Python,4,DATACAMP
Supervised Learning in R: Classification,4,DATACAMP
Introduction to Statistics in Spreadsheets,4,DATACAMP
Manipulating Time Series Data in Python,4,DATACAMP
Building Web Applications in R with Shiny,4,DATACAMP
Feature Engineering for Machine Learning in Python,4,DATACAMP
Analyzing Data in Tableau,8,DATACAMP
Foundations of Probability in R,4,DATACAMP
Introduction to Airflow in Python,4,DATACAMP
Intermediate SQL Server,4,DATACAMP
Introduction to Writing Functions in R,4,DATACAMP
Data Visualization in R,4,DATACAMP
Regular Expressions in Python,4,DATACAMP
Machine Learning for Time Series Data in Python,4,DATACAMP
Big Data Fundamentals with PySpark,4,DATACAMP
Preprocessing for Machine Learning in Python,4,DATACAMP
